Matematica;Comunicacion;Ingles;DesarrolloPersonal;Historia;ArteyCultura;Quimica;Biologia;Fisica;EmprendimientoI;EmprendimientoII;KuderA;KuderB;KuderC;KuderD;KuderE;KuderF;KuderG;KuderH;KuderI;KuderJ;CapsE1MR;CapsE2SR;CapsE3VR;CapsE4NA;CapsE5LU;CapsE6WK;CapsE7PSA;Career
7;17;16;20;20;18;20;20;12;18;18;18;23;21;18;14;30;8;24;28;6;0;6;9;7;0;1;5;MedicinaVeterinariayZootecnia
0;17;19;20;18;14;16;20;17;18;12;6;25;30;14;17;13;20;11;11;19;1;0;0;0;0;9;1;CienciaPoliticayGobierno
14;19;20;20;20;18;20;20;16;18;20;7;9;23;28;11;15;29;12;24;25;1;0;9;0;6;2;9;IngenieriadeIndustriaAlimentaria
18;17;20;20;20;20;19;16;13;20;18;22;29;17;15;19;12;22;19;23;20;4;6;9;4;0;6;7;Arquitectura
7;17;18;20;0;12;8;16;16;10;0;9;17;24;6;26;29;25;18;10;29;0;0;9;0;6;9;0;MedicinaVeterinariayZootecnia
12;19;20;20;20;20;19;20;20;20;16;9;30;13;10;11;6;8;14;25;24;6;0;8;9;6;0;0;IngenieriaMecanicaElectrica
18;17;17;20;20;20;9;20;20;20;20;18;27;23;15;15;14;19;23;7;12;3;7;0;7;0;7;0;CienciaPoliticayGobierno
9;17;19;16;16;20;16;20;19;6;18;10;10;10;8;21;20;15;15;24;14;2;4;3;0;5;9;3;AdministraciondeEmpresas
10;15;18;20;20;12;20;16;14;18;0;20;13;14;7;6;16;21;12;22;19;2;6;4;4;1;1;5;CienciaPoliticayGobierno
17;17;20;20;20;18;20;20;18;18;20;27;25;16;11;9;19;18;13;7;19;3;7;9;0;4;5;7;IngenieriadeIndustriaAlimentaria
16;17;20;18;20;20;16;16;17;18;14;18;19;28;29;23;13;26;27;25;6;4;0;0;4;9;1;4;EducacionSecundaria
10;8;15;16;18;18;12;20;20;18;16;22;26;7;10;29;23;22;23;9;8;4;6;0;7;5;9;0;Derecho
8;19;19;18;20;16;20;20;0;18;16;6;10;30;19;9;29;14;20;16;15;4;3;9;4;8;9;5;MedicinaVeterinariayZootecnia
12;17;9;12;20;20;19;16;19;16;16;14;9;17;20;27;25;8;18;7;10;0;0;5;9;7;2;0;Enfermeria
16;16;19;20;20;18;19;20;16;18;14;21;22;13;30;22;16;26;13;14;23;6;5;9;9;0;4;5;IngenieriaAmbiental
12;17;14;20;18;20;15;12;10;14;12;24;24;18;23;8;11;10;28;20;18;4;6;4;9;1;3;0;FarmaciayBioquimica
17;17;17;20;10;18;15;20;16;18;6;25;27;16;7;14;17;14;7;18;28;0;3;9;5;0;0;7;IngenieriadeSistemas
8;16;5;20;16;12;15;16;12;20;10;12;25;14;25;20;28;28;26;17;25;6;0;4;3;0;1;4;ComunicacionSocial
15;18;9;20;20;0;19;20;14;18;18;7;24;20;14;28;25;6;9;19;14;6;5;9;6;0;2;7;IngenieriaMecatronica
17;16;19;20;18;20;15;12;20;18;18;20;13;17;20;13;17;26;25;29;23;6;2;9;6;0;5;4;IngenieriadeMinas
15;17;20;20;18;14;13;20;17;18;16;25;27;12;9;16;17;15;10;27;21;0;7;9;2;0;6;0;IngenieriaIndustrial
16;17;20;18;18;16;16;16;16;18;12;26;20;30;8;15;13;12;23;21;16;4;4;6;0;5;9;0;IngenieriaAgronomicayAgricola
10;17;13;20;20;18;19;20;20;20;20;28;24;11;11;12;8;25;27;17;18;2;5;5;0;0;7;0;AdministraciondeEmpresas
15;18;20;20;20;16;15;20;20;18;16;13;22;10;25;29;29;30;7;28;11;0;5;9;9;6;9;9;IngenieriaMecanica
12;19;18;20;20;20;17;16;20;20;16;8;28;17;8;17;18;29;15;9;23;6;5;9;0;0;7;6;IngenieriaAgronomicayAgricola
9;16;17;18;18;12;10;20;11.5;20;14;26;18;21;6;9;17;9;7;11;23;0;3;9;7;5;7;0;IngenieriaMecanicaElectrica
14;19;19;18;20;18;20;16;18;16;10;18;13;26;20;13;22;12;8;19;22;4;0;9;8;8;3;3;IngenieriaMecanicaElectrica
17;17;10;20;6;18;8;16;14;14;0;6;15;19;6;20;11;13;10;12;20;3;1;0;0;9;6;0;PublicidadyMultimedia
16;18;17;20;20;18;16;20;20;18;20;9;12;27;6;27;15;13;13;19;23;5;0;6;3;0;9;0;IngenieriaComercial
12;17;20;20;18;14;20;20;17;14;16;10;30;18;18;17;17;17;14;28;11;0;4;4;0;4;6;2;AdministraciondeEmpresas
13;17;20;20;18;14;20;20;17;20;18;8;8;25;20;10;16;6;24;14;10;6;3;0;7;1;4;3;CienciaPoliticayGobierno
19;17;17;20;20;16;20;20;20;14;8;10;7;9;14;30;27;30;7;28;15;4;7;3;9;7;7;0;PublicidadyMultimedia
11;17;19;16;20;20;13;20;16;20;20;15;18;10;11;8;24;9;11;10;21;0;4;4;1;0;9;0;Contabilidad
14;16;19;14;20;20;19;20;20;20;14;18;13;24;23;24;25;19;7;16;18;1;7;9;0;3;4;6;IngenieriaElectronica
9;17;17;20;20;16;19;20;14;16;16;22;13;19;16;21;8;16;14;29;20;4;3;9;0;2;9;0;IngenieriadeMinas
13;16;10;20;20;18;14;20;13;18;16;18;11;25;9;22;28;25;19;25;21;1;0;9;9;8;6;3;IngenieriaAmbiental
19;19;17;20;20;20;20;20;20;20;20;20;10;17;17;6;24;28;12;7;24;4;6;6;2;9;2;2;TurismoyHoteleria
7;19;17;20;18;18;20;20;18;16;12;27;19;6;22;14;13;25;9;10;13;6;0;9;1;0;9;9;IngenieriaMecanicaElectrica
19;17;20;18;20;20;17;16;14;20;20;30;7;18;11;19;9;29;30;27;12;3;5;9;9;1;7;2;IngenieriaMecanicaElectrica
3;17;18;8;14;6;0;16;3;4;6;16;24;11;18;15;25;16;12;9;28;6;0;0;4;0;0;6;Contabilidad
8;17;20;16;20;12;18;20;11;14;14;18;23;27;11;14;9;30;22;30;11;1;6;9;9;0;0;6;IngenieriadeIndustriaAlimentaria
18;17;16;20;20;12;18;12;16;20;20;25;19;30;30;21;8;30;7;30;18;6;6;6;0;6;9;5;FarmaciayBioquimica
17;17;9;20;20;20;20;20;11.5;20;20;20;23;14;19;13;12;30;16;19;7;3;0;6;9;5;0;0;Enfermeria
17;19;18;20;20;18;15;20;20;18;12;29;25;24;30;22;6;7;8;15;8;2;6;0;1;1;0;7;IngenieriadeIndustriaAlimentaria
13;18;20;12;20;8;10;0;20;10;10;23;14;11;10;11;17;15;22;23;20;6;7;9;8;1;7;0;IngenieriadeSistemas
15;18;16;20;18;18;20;20;18;16;8;14;10;15;11;21;6;29;22;26;11;3;4;9;1;0;4;9;IngenieriaMecatronica
18;16;10;20;20;6;0;16;20;10;14;10;12;29;18;17;9;17;9;12;11;0;6;2;9;7;1;2;ObstetriciayPuericultura
5;16;12;18;16;12;8;20;0;14;6;17;8;22;21;20;13;6;22;27;29;6;2;0;6;2;0;4;CienciaPoliticayGobierno
7;16;18;16;18;12;8;20;3;20;0;29;13;10;27;25;11;6;15;8;21;0;7;0;7;0;7;4;ObstetriciayPuericultura
18;17;20;18;20;20;20;16;20;20;20;22;18;26;11;12;29;21;11;18;30;2;2;9;9;9;8;7;IngenieriaAmbiental
10;18;17;20;20;16;11;20;12;18;16;16;22;12;11;27;11;26;20;18;10;6;5;0;1;0;1;7;Contabilidad
19;16;10;20;20;20;10;20;20;14;20;12;14;11;15;25;16;6;16;7;15;6;2;9;5;5;4;6;IngenieriaMecatronica
13;17;18;0;14;0;10;12;17;12;14;20;10;6;22;21;13;14;26;15;13;4;4;9;1;0;0;2;IngenieriaAmbiental
17;9;10;20;20;20;15;20;12;16;20;6;23;10;16;19;30;21;26;21;13;2;0;5;6;3;7;5;Contabilidad
7;19;20;20;10;8;16;20;3;12;14;14;30;19;22;8;15;22;26;7;15;0;1;8;0;0;3;0;IngenieriaAmbiental
15;19;17;20;20;20;16;20;14;20;20;21;14;16;24;27;9;12;9;30;7;2;5;3;5;0;9;3;Odontologia
17;8;20;20;18;18;17;20;16;18;14;22;14;13;23;13;23;24;19;15;10;3;5;0;1;0;0;0;IngenieriaComercial
13;18;20;20;20;18;19;20;20;20;14;24;9;26;21;10;26;14;25;24;24;0;6;9;0;4;7;0;IngenieriadeMinas
12;19;20;20;18;20;18;0;5;14;16;23;19;17;18;27;29;8;9;28;14;5;6;0;4;0;9;6;AdministraciondeEmpresas
13;16;19;20;20;12;18;20;14.5;20;16;6;29;26;8;13;10;13;29;17;7;4;0;7;9;0;7;6;IngenieriaBiotecnologica
11;16;20;18;20;10;19;16;17;20;20;30;30;24;28;18;12;28;24;20;25;4;2;4;0;7;9;7;IngenieriaElectronica
14;17;20;20;20;20;8;20;16;20;14;21;12;25;28;29;23;13;11;19;10;4;4;9;2;6;0;0;IngenieriaIndustrial
12;17;16;18;20;18;4;20;8;20;18;20;20;22;19;24;12;9;21;15;22;0;6;7;1;0;9;9;Derecho
18;18;17;20;20;20;20;20;20;20;18;12;30;18;11;18;23;19;8;18;20;6;2;4;1;4;0;3;AdministraciondeEmpresas
15;16;20;18;20;20;20;20;6;12;20;14;30;6;8;28;29;12;27;25;8;1;3;9;2;0;6;0;Arquitectura
13;19;16;18;12;20;15;20;0;8;12;16;12;12;24;12;22;26;25;26;25;1;7;9;7;6;3;0;IngenieriaMecanica
5;16;14;20;18;18;12;20;17;16;16;28;15;11;12;21;22;24;27;8;22;4;6;6;7;3;2;5;CienciaPoliticayGobierno
18;20;18;20;14;12;20;16;13;14;18;19;25;10;9;6;23;29;23;25;28;5;0;6;3;3;0;0;IngenieriaComercial
17;18;19;16;20;20;20;12;17;20;20;29;12;24;11;16;14;7;25;8;10;6;1;0;9;6;1;2;Enfermeria
10;15;20;18;20;20;20;16;8;18;20;19;17;29;28;18;30;12;30;7;19;0;5;0;2;1;5;0;CienciaPoliticayGobierno
16;9;20;18;14;16;10;16;0;16;14;9;12;11;30;23;22;23;28;14;23;4;4;2;9;0;0;0;Odontologia
15;12;11;18;18;16;13;16;0;16;10;28;26;27;26;21;27;28;24;17;26;2;5;9;3;4;9;6;IngenieriaAmbiental
9;19;16;20;20;12;20;20;14.5;18;12;22;7;29;8;16;27;17;8;28;6;6;6;6;2;7;0;1;CienciaPoliticayGobierno
10;18;12;0;16;8;20;8;12;6;8;23;27;8;24;21;24;13;17;6;28;4;1;6;0;0;6;7;Derecho
18;17;20;20;20;16;18;20;16;20;18;23;28;13;14;13;25;15;23;21;7;2;7;0;7;6;4;2;CienciaPoliticayGobierno
13;15;19;20;20;20;20;20;20;20;14;30;28;8;18;15;25;17;8;23;14;6;0;9;9;0;1;3;Arquitectura
8;16;15;20;18;16;8;16;12;16;12;20;22;20;20;12;21;9;29;25;24;2;5;9;9;4;6;0;IngenieriadeSistemas
20;17;19;18;18;20;17;20;16;18;20;21;29;11;17;23;11;29;7;11;12;6;0;9;0;0;9;9;MedicinaVeterinariayZootecnia
10;18;19;20;18;20;19;16;20;18;16;23;23;7;8;12;7;15;15;12;26;3;0;9;6;9;9;0;IngenieriaElectronica
18;17;16;20;18;18;20;12;17;20;16;20;18;12;12;7;7;23;28;22;30;6;3;5;7;2;9;0;CienciaPoliticayGobierno
18;16;18;20;20;20;18;20;0;20;16;19;27;15;24;23;12;11;20;30;8;0;6;6;9;1;3;7;ObstetriciayPuericultura
8;17;19;0;20;20;16;0;14;18;18;30;15;23;17;25;15;20;30;17;30;6;1;7;1;7;3;2;Contabilidad
17;16;18;20;20;18;12;20;2;18;18;30;25;15;6;19;29;22;13;19;19;0;0;0;9;3;9;6;ObstetriciayPuericultura
13;17;18;18;16;20;18;20;0;20;8;24;16;20;13;29;17;20;28;13;7;6;6;4;2;0;9;7;Derecho
12;8;14;20;20;18;17;16;12;14;12;28;10;20;12;22;29;6;30;27;24;6;0;9;7;9;9;2;IngenieriadeIndustriaAlimentaria
16;17;20;18;20;16;12;0;18;16;18;19;19;30;19;20;16;8;10;8;30;6;5;7;9;4;4;0;Odontologia
7;9;19;20;18;12;16;12;14;14;14;9;26;25;22;25;30;12;27;13;21;2;2;9;9;7;9;7;IngenieriaMecatronica
19;16;17;20;18;20;16;8;16;20;20;17;30;19;12;26;30;30;30;9;23;6;6;6;9;3;8;0;PublicidadyMultimedia
4;19;18;18;20;18;16;20;14.5;20;18;18;11;17;27;25;11;17;11;17;12;6;0;6;0;5;9;2;Enfermeria
17;18;10;20;20;16;20;20;10;18;16;22;17;12;8;10;18;12;24;26;30;6;7;5;3;9;3;3;EducacionPrimaria
8;19;14;16;12;16;20;20;9;12;6;21;17;20;15;6;15;11;11;17;10;2;5;9;9;9;9;7;MedicinaVeterinariayZootecnia
15;17;17;20;20;20;0;16;11.5;20;20;17;15;23;30;15;24;10;22;27;7;4;2;1;0;1;9;1;Derecho
18;17;18;20;16;18;12;20;17;14;12;18;25;15;11;9;27;27;21;20;10;0;0;2;6;1;3;3;IngenieriaComercial
12;17;20;20;20;14;12;0;12;16;18;12;23;11;14;6;19;10;9;12;24;4;0;0;5;0;7;7;CienciaPoliticayGobierno
7;8;4;14;14;10;17;12;12;14;12;13;28;26;25;28;12;25;20;14;15;6;6;0;0;2;9;3;MedicinaHumana
14;16;19;14;20;10;14;16;20;8;18;8;17;30;25;25;11;14;16;16;16;1;0;0;7;0;8;0;IngenieriaComercial
11;17;10;20;20;12;10;12;14;8;12;20;26;29;24;21;30;23;11;28;26;3;7;1;9;3;0;5;ObstetriciayPuericultura
16;18;19;20;0;20;20;20;20;20;20;21;14;9;13;8;14;19;10;11;27;6;3;6;0;5;9;5;AdministraciondeEmpresas
8;18;18;20;20;12;11;0;0;14;12;30;14;11;14;8;26;13;15;11;30;6;3;3;7;0;0;0;Contabilidad
7;16;18;16;18;14;12;20;8;20;16;24;17;27;6;26;18;14;12;10;14;5;1;0;0;2;1;4;Contabilidad
15;18;18;20;20;16;14;20;19;18;12;15;27;17;16;6;20;23;24;20;8;6;6;5;2;2;6;7;AdministraciondeEmpresas
14;9;19;20;20;12;20;12;18;12;18;23;21;7;14;14;18;16;6;8;13;1;5;0;2;0;7;0;Derecho
8;18;15;18;12;12;19;20;14;16;8;17;17;20;11;20;13;22;14;13;27;0;2;0;6;3;3;0;Contabilidad
14;16;0;20;16;18;8;12;17;18;8;21;17;27;30;26;13;25;16;12;7;4;2;3;0;2;7;6;Odontologia
17;17;19;20;20;14;16;12;11;10;20;6;29;6;12;13;18;18;6;24;30;0;4;5;0;0;0;9;IngenieriaComercial
19;18;19;20;18;16;18;20;18;18;16;21;25;30;6;26;16;19;16;23;30;0;0;9;9;6;5;0;IngenieriaElectronica
12;18;16;20;16;10;16;20;18;12;14;7;12;14;25;23;25;6;24;20;15;6;5;9;9;6;2;0;MedicinaVeterinariayZootecnia
19;19;17;20;16;14;18;20;0;14;14;13;24;11;8;22;17;8;12;10;9;6;0;4;5;2;1;0;AdministraciondeEmpresas
19;16;19;20;18;20;0;16;0;20;20;19;20;22;13;6;25;10;28;15;6;3;1;3;3;0;9;6;CienciaPoliticayGobierno
10;16;7;18;0;12;16;20;8;20;14;17;24;20;7;24;23;21;21;24;14;4;2;0;4;6;4;0;CienciaPoliticayGobierno
12;17;18;20;20;14;19;20;10;16;12;13;12;23;14;11;28;20;23;26;12;6;6;9;7;0;0;2;IngenieriadeMinas
2;9;18;18;18;18;16;16;15;16;16;22;26;18;8;29;20;24;12;27;11;6;7;0;9;6;5;0;FarmaciayBioquimica
12;17;17;20;20;18;19;20;20;18;20;23;7;24;12;20;11;15;17;28;18;0;6;9;0;7;6;0;IngenieriadeIndustriaAlimentaria
14;19;17;20;20;20;20;16;17;20;0;23;12;28;17;16;16;26;11;19;16;6;2;0;0;1;7;0;Derecho
10;19;19;20;18;16;19;20;0;20;14;14;7;23;28;6;8;6;11;8;24;2;6;9;0;2;6;5;IngenieriadeIndustriaAlimentaria
11;17;16;20;20;18;17;20;12;20;14;27;6;11;30;7;13;13;25;30;21;4;4;4;0;3;2;1;IngenieriaComercial
8;17;17;20;18;20;15;0;8;16;12;9;18;23;13;30;25;14;27;18;22;4;0;0;3;2;7;0;IngenieriaComercial
5;16;19;20;18;14;8;20;11;8;10;25;8;15;23;30;19;23;20;29;30;6;7;5;9;0;3;0;Enfermeria
13;16;19;14;20;18;13;20;0;20;14;22;21;26;11;22;19;26;26;19;11;1;0;0;3;0;0;5;IngenieriaComercial
15;7;18;20;20;20;20;20;0;20;20;15;13;30;30;10;22;22;12;6;23;6;7;9;9;0;5;1;IngenieriadeSistemas
19;17;20;20;20;20;19;20;0;8;20;12;27;12;16;19;27;27;26;6;30;6;2;3;0;0;0;9;AdministraciondeEmpresas
15;17;19;20;20;20;16;16;17;18;18;22;12;28;21;6;7;6;20;24;30;6;0;9;9;0;2;2;IngenieriadeSistemas
12;16;19;18;20;12;19;20;17;18;16;7;12;28;23;24;27;8;10;16;8;6;3;2;9;7;0;5;Odontologia
10;18;18;16;10;10;17;0;0;16;12;10;28;23;20;22;8;24;19;13;13;6;0;9;2;0;2;0;IngenieriaMecanica
19;18;18;20;16;16;18;20;18;12;12;22;26;11;25;10;18;8;26;30;15;4;1;9;7;2;1;6;IngenieriadeSistemas
19;18;19;20;18;20;19;20;20;18;16;25;19;13;6;24;29;15;12;13;14;6;5;6;0;0;4;5;Contabilidad
12;8;4;12;20;8;16;20;11;4;20;26;26;17;25;6;26;15;21;23;21;1;2;4;3;0;4;0;AdministraciondeEmpresas
7;18;20;18;20;14;15;20;10;18;14;28;15;7;25;18;9;12;14;28;21;6;7;6;9;5;3;3;TecnologiaMedica
10;8;17;20;20;16;18;20;14;20;20;14;16;26;19;15;10;14;22;6;18;0;0;0;9;0;0;0;Enfermeria
7;8;19;20;18;16;12;16;16;20;16;14;11;10;12;24;9;30;11;11;21;6;0;4;2;6;9;0;Derecho
19;18;8;20;20;20;0;20;0;20;8;27;20;27;10;16;29;8;14;15;22;6;0;0;3;6;1;0;CienciaPoliticayGobierno
19;17;16;18;20;18;20;20;20;18;14;27;10;29;23;6;24;9;13;7;21;2;1;0;9;9;5;2;ComunicacionSocial
17;17;20;20;20;20;15;16;10;14;16;28;25;21;26;20;22;10;7;29;26;1;0;4;8;6;9;0;ObstetriciayPuericultura
14;18;20;20;20;18;17;16;13;20;16;25;12;29;13;29;21;14;11;9;13;6;0;6;0;7;5;6;CienciaPoliticayGobierno
16;17;20;20;18;20;20;20;12;20;16;25;20;20;26;22;8;24;9;12;9;3;4;4;5;7;0;2;IngenieriaComercial
12;19;18;18;18;18;20;0;0;18;8;29;19;28;18;6;9;28;29;12;24;0;3;3;7;0;9;0;IngenieriadeMinas
