MatematicaI;MatematicaII;ComunicacionI;ComunicacionII;InglesI;InglesII;DesarrolloPersonal;Historia;ArteyCultura;Quimica;Biologia;Fisica;EmprendimientoI;EmprendimientoII;KuderA1;KuderA2;KuderA3;KuderA4;KuderA5;KuderA6;KuderB1;KuderB2;KuderB3;KuderB4;KuderB5;KuderB6;KuderC1;KuderC2;KuderC3;KuderC4;KuderC5;KuderC6;KuderD1;KuderD2;KuderD3;KuderD4;KuderD5;KuderD6;KuderE1;KuderE2;KuderE3;KuderE4;KuderE5;KuderE6;KuderF1;KuderF2;KuderF3;KuderF4;KuderF5;KuderF6;KuderG1;KuderG2;KuderG3;KuderG4;KuderG5;KuderG6;KuderH1;KuderH2;KuderH3;KuderH4;KuderH5;KuderH6;KuderI1;KuderI2;KuderI3;KuderI4;KuderI5;KuderI6;KuderJ1;KuderJ2;KuderJ3;KuderJ4;KuderJ5;KuderJ6;CapsE1MR;CapsE2SR;CapsE3VR;CapsE4NA;CapsE5LU;CapsE6WK;CapsE7PSA;CapsP1MR;CapsP2SR;CapsP3VR;CapsP4NA;CapsP5LU;CapsP6WK;CapsP7PSA;Career
20;17;17;17;20;20;20;20;20;20;20;20;20;20;4;5;3;2;4;4;3;5;1;1;3;5;5;5;2;5;3;3;5;1;2;5;1;1;5;3;1;4;5;3;1;5;5;1;5;5;2;3;5;5;4;3;1;3;3;5;3;1;1;3;5;1;1;3;1;5;1;1;4;1;9;1;5;2;5;2;6;80;11;46;29;63;25;71;Odontologia
20;18;17;19;20;20;20;20;20;17;16;20;20;16;1;5;2;1;1;3;2;2;2;5;3;3;4;2;4;3;2;1;3;4;2;4;4;1;4;1;3;4;4;1;2;2;1;3;3;5;1;3;2;5;2;5;2;2;3;5;4;3;2;2;4;5;3;3;3;5;3;3;4;3;2;1;1;7;4;1;5;25;16;0;62;60;16;63;Enfermeria
11;20;16;19;18;20;20;20;18;20;16;0;18;18;2;1;3;4;1;3;3;3;2;1;5;3;1;5;2;3;1;5;5;2;2;5;2;5;4;3;1;2;2;2;1;3;4;1;4;4;5;3;2;4;2;4;4;3;3;5;1;4;2;3;2;2;4;3;3;2;4;4;2;4;2;6;9;8;2;2;1;20;72;85;66;43;28;1;Ingenieria Mecanica Electrica
15;17;18;20;20;17;20;20;10;19;20;17;20;14;1;2;3;4;1;4;2;4;5;1;3;5;2;4;5;4;4;4;2;3;4;1;3;5;1;3;4;2;4;3;5;5;2;3;4;1;4;3;4;1;2;4;4;3;3;2;2;1;4;5;3;2;5;3;3;2;2;5;5;2;1;4;1;1;9;1;7;5;50;0;0;93;14;84;Ingenieria Comercial
20;7;17;17;17;20;20;20;20;15;20;18;20;10;2;3;2;1;5;5;3;3;3;2;4;1;1;1;4;4;1;2;2;4;4;2;4;4;4;1;5;4;3;3;1;2;2;3;4;1;3;1;5;4;4;3;2;1;1;2;1;1;3;4;4;5;1;4;3;2;1;4;3;2;1;2;9;8;1;7;1;5;33;85;66;10;60;15;Educacion Inicial
12;3;14;15;11;0;20;20;16;15;20;14;14;8;3;5;3;1;5;3;5;1;2;3;2;2;4;1;2;2;3;2;4;4;5;4;3;3;3;2;1;1;5;3;1;1;2;3;1;2;2;3;1;5;2;2;1;1;5;3;1;1;5;4;5;5;2;5;4;1;4;1;1;4;1;2;1;9;4;9;1;0;33;7;95;53;89;2;Educacion Secundaria
9;3;17;20;15;17;18;20;10;20;20;11.5;20;8;2;3;4;4;3;4;5;2;5;5;2;3;1;2;3;2;4;3;5;3;4;3;5;5;3;1;3;4;3;2;5;3;4;3;1;1;1;2;3;4;3;2;4;4;5;2;5;2;2;2;3;5;1;1;5;1;1;5;3;5;1;1;9;9;1;5;1;15;11;89;100;16;46;6;Administracion de Empresas
15;18;16;18;19;18;20;20;18;20;16;16;20;14;2;4;5;1;2;5;4;3;1;3;4;4;3;2;5;5;1;3;5;5;5;4;1;1;5;2;2;3;1;3;5;4;4;3;5;5;1;2;3;1;2;1;2;1;5;3;4;4;3;3;2;4;4;3;4;4;2;4;3;2;9;4;4;1;1;4;5;70;50;39;25;20;42;66;Ingenieria Comercial
17;13;18;15;16;16;20;20;16;20;20;16;16;20;2;1;3;1;2;4;4;1;3;5;3;2;3;5;2;4;2;4;5;3;2;1;3;1;5;2;1;5;1;5;4;2;4;2;5;4;5;2;4;3;2;1;2;4;5;5;1;3;1;5;4;3;2;4;4;2;4;2;4;4;9;6;1;3;5;6;6;95;66;10;37;66;55;72;Ingenieria Mecanica
11;14;15;15;18;15;20;20;20;16;20;12;20;14;1;3;1;5;3;2;2;1;4;5;3;5;2;5;3;2;2;5;4;1;5;1;1;1;2;2;1;1;5;3;5;2;3;5;3;3;5;2;4;1;2;2;3;4;3;4;4;2;4;1;1;5;5;2;5;3;4;2;5;1;1;1;3;1;1;1;1;15;0;35;20;23;3;34;Ingenieria Comercial
9;17;17;17;19;19;20;20;18;17;20;17;18;16;4;3;2;5;5;5;4;4;5;2;2;5;1;2;5;2;1;5;4;3;4;2;2;1;3;2;5;4;3;5;3;3;5;3;3;5;3;3;5;1;5;3;1;3;1;3;4;3;3;3;1;1;3;3;3;2;5;4;2;5;9;6;1;1;7;7;9;95;72;0;20;83;66;98;Administracion de Empresas
18;16;15;17;20;20;20;18;20;17;12;0;20;0;5;3;5;4;2;1;5;5;5;1;3;5;1;4;4;5;2;2;3;3;1;4;1;1;2;2;4;1;4;1;1;3;4;2;5;1;4;4;3;2;3;3;2;5;2;3;2;4;1;1;4;1;5;4;5;4;1;5;3;2;2;9;9;1;9;2;2;20;94;89;25;93;26;42;Odontologia
9;16;0;20;18;19;20;20;18;19;20;19;16;16;1;1;2;1;2;5;4;3;2;3;1;4;2;3;5;2;5;2;1;2;2;1;4;2;4;2;4;4;4;5;3;3;4;2;5;2;4;2;3;2;2;4;3;1;2;4;1;1;3;3;5;4;5;5;5;4;1;1;3;2;5;3;9;5;8;1;2;40;44;85;50;86;10;43;Ciencia Politica y Gobierno
4;2;14;14;7;10;0;16;12;15;12;12;10;12;2;4;1;1;4;5;4;1;5;2;2;3;1;1;3;1;5;5;2;2;5;2;2;5;2;2;5;5;2;2;3;1;2;2;3;3;3;2;2;5;1;5;3;2;3;3;5;2;5;5;4;4;4;4;3;5;3;2;5;3;3;1;9;6;6;2;8;30;16;71;54;73;30;92;Derecho
15;20;0;17;17;20;20;20;20;11;16;14;20;20;2;5;5;5;2;5;2;3;5;5;3;4;3;5;4;2;2;4;2;3;2;4;3;3;5;2;2;4;5;2;1;5;2;4;2;4;2;2;4;3;4;5;3;2;5;1;3;3;5;5;3;2;1;4;5;5;3;3;3;1;9;5;9;5;4;9;3;85;61;82;50;53;78;52;Ingenieria Mecatronica
2;15;17;17;19;18;18;20;18;14;16;20;16;8;3;3;4;3;4;4;1;5;3;4;3;1;1;1;2;4;3;3;5;2;1;5;4;1;5;2;2;5;5;3;3;4;1;2;4;2;2;2;3;4;1;2;5;2;2;5;3;4;4;3;2;3;4;3;2;2;1;1;1;4;9;8;6;9;1;3;8;85;88;53;91;13;32;88;Ingenieria Electronica
17;15;17;16;19;17;20;20;16;17;20;20;18;16;4;4;4;2;4;1;1;4;1;1;4;2;4;4;1;5;5;5;5;1;3;5;4;5;3;4;3;3;4;5;4;1;4;5;5;4;3;3;4;1;2;2;3;4;2;5;1;2;3;1;4;2;3;4;1;3;4;3;3;5;5;6;8;9;8;1;2;45;72;67;87;90;10;45;Ingenieria de Sistemas
12;18;17;20;20;20;20;20;20;17;20;16;20;18;4;4;4;2;3;2;4;2;3;2;1;2;3;3;4;4;1;5;4;1;2;1;1;2;3;4;2;4;5;5;4;4;1;3;1;2;5;1;1;4;2;3;2;3;4;4;2;5;3;1;3;2;1;3;4;4;2;3;2;4;7;6;9;5;3;6;1;55;72;82;45;46;57;20;Contabilidad
20;15;16;17;17;16;20;18;18;19;20;17;18;18;3;5;1;3;5;1;2;5;5;2;4;1;4;3;1;1;1;4;2;3;3;4;5;1;3;2;1;2;4;3;3;1;2;2;2;5;3;3;1;1;4;5;5;1;3;5;5;2;4;3;2;2;1;5;3;3;3;1;2;5;9;1;1;3;1;9;9;85;0;3;37;16;89;99;Ciencia Politica y Gobierno
17;15;17;18;20;15;20;20;20;14;20;10;20;20;2;5;4;3;3;3;2;1;5;5;3;5;2;4;4;1;3;1;2;4;2;1;1;4;4;5;1;2;1;4;1;4;4;2;1;5;2;4;1;2;5;3;2;4;2;4;2;2;4;1;3;3;3;5;2;1;2;1;2;5;9;1;1;1;7;5;4;75;11;14;0;80;48;57;Educacion Primaria
13;13;18;19;0;17;20;20;20;20;20;20;18;18;2;3;4;5;4;1;3;3;4;3;3;1;1;3;1;3;3;5;5;4;2;1;1;1;2;5;2;2;3;2;2;5;2;1;2;2;5;4;5;1;1;2;3;5;4;5;2;3;3;2;4;1;5;3;1;1;2;1;5;5;9;2;1;1;1;4;2;70;33;14;12;33;42;41;Ingenieria Mecatronica
17;18;14;16;16.5;19;16;20;12;19;20;20;12;14;1;4;5;5;2;5;5;4;3;5;2;5;4;1;4;2;2;4;5;2;4;3;3;3;2;2;4;3;5;2;4;3;3;4;5;3;4;3;3;5;2;4;5;1;1;3;3;4;3;1;5;3;2;2;2;1;1;4;3;2;9;4;3;1;1;5;3;90;50;32;4;33;48;47;Medicina Humana
10;10;17;20;0;17;20;6;20;13;20;12;18;20;5;3;1;2;5;4;5;2;1;2;4;2;4;3;3;1;3;2;4;5;2;2;4;5;2;5;5;1;1;1;1;2;1;1;4;5;5;5;3;4;4;3;1;1;1;4;3;3;5;2;3;3;1;4;5;2;4;5;5;1;1;5;1;9;1;1;4;15;61;0;95;20;5;54;Turismo y Hoteleria
2;17;0;17;20;20;18;4;12;9;8;10;0;12;3;2;1;2;5;1;2;2;2;4;5;1;4;1;5;2;2;2;2;5;2;5;5;1;2;3;3;1;4;2;4;4;1;3;2;5;3;1;5;1;3;5;3;1;1;1;5;1;1;2;4;3;5;3;5;4;2;3;4;5;7;8;9;5;1;9;1;55;88;96;45;16;92;6;Tecnologia Medica
7;7;17;16;15;17;20;20;18;20;20;12;18;18;5;5;1;2;5;2;3;2;4;1;5;5;2;4;2;4;5;2;5;5;3;1;4;3;2;4;4;5;3;4;3;1;2;4;5;1;1;4;4;4;1;1;1;3;5;5;1;5;4;4;3;3;1;4;3;2;2;4;1;1;2;5;1;1;8;9;6;20;61;0;0;90;76;70;Ingenieria Mecanica
0;0;17;16;20;18;20;18;14;16;20;17;18;12;2;3;4;3;2;4;2;5;4;5;4;3;4;3;3;4;2;1;2;2;4;2;1;5;3;2;2;4;4;4;5;2;5;1;5;5;1;1;2;2;2;3;1;5;2;3;4;1;2;5;2;4;5;3;2;3;3;3;2;2;7;8;1;1;5;5;8;60;88;14;4;66;48;90;Ingenieria Comercial
11;17;18;20;20;20;20;20;18;20;20;16;18;20;1;1;1;2;3;2;1;4;4;5;3;2;1;3;4;4;5;1;5;2;3;2;1;1;2;5;1;4;1;2;3;1;1;1;2;5;4;5;1;4;2;3;3;3;5;4;3;2;5;1;3;3;3;5;3;3;4;3;5;3;3;2;5;2;1;1;6;30;33;50;29;10;16;73;Enfermeria
